2023 Progressive Metal Albums,,Releases:,1410,"Sort by Artist, Vocal Style, or Genre:
Data -> Filter views... -> ...
Or create your own Filter View:
Data -> Filter views... -> Create a new filter view","Collaborators: 
         FranticDav | Faceless_Aeons
tapestrymusicpodcast | ickybus
  Vortexpro000 | theSmilingCow
   PyroL | Fayiron
Unsinful",,,Images & Words: The Prog Discord,,,
,,LPs:,1206,,,,,,,,
,,EPs:,209,,,,,,,,
,,Debuts:,286,,,,,,,,
,,Reissue/Special:,21,,,,,,,,
Artist,Album,Release Date,Length,Genre / Subgenres,Vocal Style,Country / State,Bandcamp,Spotify,YouTube,Amazon,Apple Music
Iron Rot,Cries of the Canyon,February 15,EP,Western Black metal,Harsh,"Seattle, WA",BC,S,,,
Meadows,Tears In Paradise,February 16,EP,"Prog-metal, Alt-rock",Clean,Netherlands,BC,S,,,
AGLO,Into The Maze,February 16,LP,"Sludge metal, Doom metal",Harsh,"Melbourne, Australia",BC,S,,,
Pigs Pigs Pigs Pigs Pigs Pigs Pigs,Land of Sleeper,February 17,LP,"Stoner metal, Heavy Psych",Clean,"Newcastle, UK",BC,S,,,
See You Next Tuesday,Distractions,February 17,LP,"Grindcore, Deathcore",Harsh,"Michigan, MI",BC,S,YT,,
Kromheim,Journey To Divinity,February 17,LP,Melodic Death metal,Harsh,"London, UK",BC,S,,,
Hellripper,Warlocks Grim & Withered Hags,February 17,LP,"Black metal, Speed metal",Harsh,"Scotland, UK",BC,S,,,
Tithe,Inverse Rapture,February 17,LP,"Death metal, Grindcore",Harsh,"Portland, OR",BC,S,YT,,
Ulthar,Helionomicon,February 17,LP,Death metal,Harsh,"Oakland, CA",BC,S,YT,,
Ulthar,Anthronomicon,February 17,LP,Death metal,Harsh,"Oakland, CA",BC,S,YT,,
Hexer,Abyssal,February 17,LP,"Black metal, Doom metal, Sludge metal",Harsh,Germany,BC,S,,,
The Abbey,Word of Sin,February 17,LP,"Prog-metal, Doom metal",Clean,Finland,BC,S,YT,,
Wizards of Hazards,Supernatural,February 17,LP,"Doom metal, Heavy metal",Clean,Finland,BC,S,,,
Outrun the Sunlight,The Return of Inertia 2.0,February 17,LP,"Prog-metal, Djent",Instrumental,"Chicago, IL",BC,S,,,
Jakub Zytecki,Remind Me,February 17,LP,"Prog-metal, Math rock, Ambient",Instru./Clean,"Kraków, Poland",BC,S,,,
Man Must Die,The Pain Behind it All,February 17,LP,Technical Death metal,Harsh,"Glasgow, UK",,S,,,
Dismal,Via Entis,February 17,LP,"Gothic metal, Symphonic metal",Clean,"Turin, Italy",BC,S,,,
Legacy,Eternidad,February 17,EP,"Power metal, Folk metal, Symphonic metal",Clean,Spain,BC,S,,,
Enisum,Forgotten Mountains,February 17,LP,Atmospheric Black metal,Mixed,Italy,BC,S,,,
Mourning Ashes,Chapter V: Ruin,February 17,LP,"Prog-metal, Death metal",Harsh,"Mesa, AZ",BC,S,,,
66crusher,Limbo,February 17,LP,"Prog-metal, Thrash metal",Clean,"Bergen, Norway",BC,S,,,
Chasmdweller,Blood Vortex,February 17,LP,Death metal,Harsh,"Toronto, Canada",BC,S,,,
Autrest,Follow the Cold Path,February 18,LP,Atmospheric Black metal,Harsh,Brazil,BC,S,,,
Blitzar IV,Ayla,February 20,LP,Cosmic Black metal,Harsh,Mexico,BC,S,,,
The Design Abstract,Transhuman Ascendant,February 21,LP,Melodic Death metal,Mixed,"Ontario, Canada",BC,S,,,
Crowning / Eyelet,Split,February 22,EP,Screamo,Harsh,USA,BC,S,,,
Crown of Madness,Elemental Binding,February 23,EP,Technical Death metal,Harsh,Canada,BC,S,,,
Étale,Phynai,February 23,LP,Prog-metal,Mixed,"New York, NY",BC,S,,,
Eyes Of Argus,Honey’d Dreams,February 23,LP,"Doom metal, Sludge metal",Clean,"Providence, RI",BC,S,,,
Empty Portrait,Of Delirium And Freedom,February 23,LP,"Blackgaze, Ambient, Electronic",Mixed,"Macclesfield, UK",BC,S,,,
BIG|BRAVE,Nature Morte,February 24,LP,"Atmospheric Sludge metal, Post-metal",Mixed,"Montreal, Canada",BC,S,,,
Insomnium,Anno 1696,February 24,LP,Melodic Death metal,Mixed,"Joensuu, Finland",BC,S,,,
Heidevolk,Wederkeer,February 24,LP,"Folk metal, Viking metal",Clean,"Arnhem, Netherlands",BC,S,,,
Venomous Concept,The Good Ship Lollipop,February 24,LP,Crust Punk,Harsh,"Chicago, IL",,S,,,
They Grieve,To Which I Bore Witness,February 24,LP,Atmospheric Sludge metal,Harsh,"Ottawa, Canada",BC,S,,,
7 H. Target,Yantra Creating,February 24,LP,Brutal Death metal,Harsh,Russia,BC,S,YT,,
Megaton Sword,Might & Power,February 24,LP,"Power metal, Heavy metal",Clean,"Winterthur, Switzerland",BC,S,,,
No Spill Blood,Eye of Night,February 24,LP,"Sludge metal, Industrial",Harsh,"Dublin, UK",BC,S,,,
Hypno5e,Sheol,February 24,LP,Prog-metal,Mixed,France,BC,S,YT,,
Omega Infinity,The Anticurrent,February 24,LP,Black metal,Mixed,Australia,BC,S,YT,,
Merlock,Onward Strides Colossus,February 24,LP,"Stoner metal, Heavy Psych",Clean,"Spokane, WA",BC,S,YT,,
Slumbering Sun,The Ever​-​Living Fire,February 24,LP,Doom metal,Clean,"Austin, TX",BC,S,,,
To The Grave,Director's Cuts,February 24,LP,Deathcore,Harsh,"Sydney, Australia ",BC,S,,,
Ontborg,Following The Steps Of Damnation,February 24,LP,Melodic Death metal,Harsh,Italy,BC,S,,,
Wanderer,Indulgence of the Unreal,February 24,EP,Mathcore,Harsh,"Minneapolis, MN",BC,S,,,
Hammerhedd,Nonetheless,February 24,LP,"Thrash metal, Groove metal",Harsh,"Kansas City, MO",,S,,,
Isolant,Drain,February 24,EP,"Industrial metal, Doom metal, Crust",Harsh,"Boston, MA",BC,S,YT,,
Anatomy of Habit,Black Openings,February 24,LP,"Doom metal, Post-Punk, Gothic rock",Clean,"Chicago, IL",BC,S,,,
Asylence,Endanger Us All,February 24,LP,Metalcore,Mixed,"Detroit, MI",BC,S,,,
Sleep Terror,Railroad to Dystopia,February 24,LP,"Prog-metal, Death metal, Funk",Instrumental,"Seattle, WA",BC,S,,,
Ghosts of Shadow Moses,Nemesis,February 24,LP,Metalcore,Harsh,"Ottawa, Canada",BC,S,,,
Faron,World Beyond Grief,February 24,LP,Black metal,Harsh,"Pittsburgh, PA",BC,S,,,
Wolves in Winter ,The Calling Quiet,February 24,LP,Doom metal,Clean,"Bradford, UK",BC,S,,,
Valfreyja,Valfreyja,February 24,LP,"Prog-metal, Fusion",Instrumental,"Linköping, Sweden",BC,S,,,
Comb,Living Paradox,February 24,LP,Prog-metal,Instrumental,"Tel Aviv Yafo, Israel",BC,S,,,
The Resonance Project ,Ad Astra,February 24,LP,Prog-metal,Instrumental,"Los Angeles, CA",BC,S,,,
Koronus,Sentinel,February 24,LP,Prog-metal,Mixed,"West Lafayette, IN",BC,S,,,
Ascension,Under the Veil of Madness,February 24,LP,Power metal,Clean,"Edinburgh, UK",BC,S,,,
When Hearts Wither,This Is Where It Ends,February 25,LP,Doom metal,Mixed,"Gympie, Australia",BC,S,,,
Solfar,Light Tomb,February 25,LP,"Post-metal, Doom metal, Space metal",Mixed,"New Jersey, NJ",BC,S,,,
